,,Department,,Customer Review
,,build quality,,the mahindra xuv500 is a very poor quality car.
,,safety features,,traction control is another good addition.
,,safety features,,"the harrier, like most modern vehicles, comes fully loaded with features like 6 airbags, esp, abs, traction control, esc and isofix anchor points."
,,safety features,,"and it has sport, eco and city modeit has automatic claimate control ac. and rear blower with heater seafty feature included areabs, ebd, traction control system, esp, hill hold control, hill decent control."
,,safety features,,"but i have to say that comfort and riding quality of this car is fantabulous and it stands out from its rivals also in these terms.the engine is upto 1956 cc and the car also offers many driving modes.the sound quality is really amazing because of the 9 jbl speakers and an amplifier.the tata harrier offers a 425 liters of boot it can be expanded upto 800 liters also.the back seat is also very spacious with a good headroom and legroom the rear ac vents are placed on the side that gives more space in the back.overall tata harrier is actually a strong package it gives an option of manual gearbox and diesel engine option for now only but there are some small features that tata motors should offer like the panaromic sunroof and some more updates in the infotainment screen it will add more sense and give the practical feel to this car.in terms of safety the car gives passenger and driver side airbags apart from it there are many other safety features also like hill hold assist,abs,ebd,traction control etc.i like the harrier so much, as a student i can't buy this car right now ??"
,,safety features,,"apart from these, the advanced esp also features electronic traction control and hydraulic brake assist."
,,safety features,,even its base model has all features and safety like traction control abs ebd etc love this carrrr my favorite carr??????
,,safety features,,"-100 takes around 11 second.. 
safety features are very good in hector.. from base model itself.. they give (abs, ebd, esp, traction control, hill hold, dual airbags)"
,,safety features,,"if i was to compare it with the hector, i'd say that mg has done a better job in offering a safer product with the base variant getting 2 airbags and the ones above getting 4 and 6 airbags respectively with the hill assist, traction control , rear disc brakes etc coming as standard across all variants."
,,safety features,,"such as additional safety, hill hold, traction control, better alloys, powerful engine etc. 
eager to know which one out of two will give better fuel economy in real world scenario?"
,,safety features,,"diesel top end does get front parking sensors    quote:    
					originally posted by mukundanmk   also underneath the steering, switches for hud and traction control off are missing and dummied out."
,,safety features,,"also underneath the steering, switches for hud and traction control off are missing and dummied out."
,,safety features,,"it would be interesting to drive the dct, as with the drive modes and the traction control modes, quite a lot is missing in the gtx+ manual drive feel as well."
,,safety features,,"quote:    and like the other two automatic variants, the diesel at gets three driving modes (normal, eco, and sport) along with three traction control settings, including mud, wet, and sand."
,,safety features,,i also wanted to add that the currently displayed htx+ diesel is also missing the traction control (esp) as the button to switch it off besides was also missing just like its neighbouring missing hud button.
,,safety features,,"so the top end diesel variant (htx+ at) will come with only 2 airbags, no rear disc breaks, no traction control, no drive and terrain modes?"
,,safety features,,we really need those drive modes and traction control for the 1.4 turbo petrol gtx+ 6 spd manual... its only available in the dct model...
,,safety features,,"the infotainment system is great as itsupportsmost regional language.regardingsafety best in thesuvsegment as it loaded with6airbags, esp, traction control,ebd,"
,,safety features,,"while it may miss out on kit such as keyless entry and go, power folding wing mirrors, a larger 7.0-inch infotainment screen and the 17-inch alloy wheels available on the higher-spec longitude variant, it gets the same level of safety equipment including dual front airbags, abs, esc and traction control
			
		   link"
,,safety features,,"standard equipment from the compass sport like dual airbags, abs, esc, traction control, daytime running lamps, front and rear armrests, electrically adjustable orvms and remote keyless entry, will be carried over. 
"
,,safety features,,", compass gets four driving in top of the variants in its selec- terrain all wheel drive system such as auto, snow, sand and mud to adjust engine mapping and traction control to move easily over the selected terrain. 
"
,,safety features,,"owing to off road characters, compass gets four driving modes in its selec-terrain all-wheel drive system such as auto, snow, sand, and mud-the system adjust the engine mapping and traction control to move easily over the selected terrain.
"
,,safety features,,the traction control is tremendous.
,,safety features,,"(that will be bought in my next trip to thailand)
- dash board camera
- auto dim irvm
- 360 degree camera (this is not yet available in toyota thailand and i may have it installed at lanson toyota)  
overall, i am loving the car and the decision to go with the fortuner.  "
,,safety features,,the new update has improved the lag of the 360 degree camera as well.
,,safety features,,"thanks dude  
these are the upgrades on the l&k
body coloured bumpers and side skirt
l&k badging on fender and seats
virtual cockpit
360 degree camera
chrome accents on grille, roof rail etc
chrome"
,,safety features,,"i have scorpio but the nothing can beat mg hector ride quality all the material used is looks rich and expensive but the quality of 360 degree camera is nit that good .
improve voice commands and infotainment system"
,,safety features,,"ram.the car is so features like 360.degree camera.it is better than scorpio ,harrier."
,,safety features,,"in this price mg hector is wonderful, features are excellent, hill hold, 360-degree camera view sunroof and many more it would be my dream car."
,,safety features,,"sporty gtx+ diesel-automatic variant of the kia seltos will feature six airbags, a head-up display, a 360-degree camera and more; likely to be the priciest variant in its line-up.
"
,,safety features,,the 360 degree camera image stitching is such crap.
,,safety features,,"in addition he kept mentioning that there is a likely announcement of another top end diesel model that would have the 360 degree camera, hud in addition to the current top end model 
in the end"
,,safety features,,"few posts back, i was wishing for some sort of optional pack even on htx+ diesel auto, wherein one could get the option of 6 airbags and the 360 degree camera."
,,safety features,,"also hoping against hope, that kia offers some sort of an option pack, through which one can get the 360 degree camera and the 6 airbag as options on the htx+ auto variant."
,,safety features,,"this is because the touchscreen system in india has 360 degree camera configuration as well as smart air purifier system that is not present in the korean models. 
"
,,safety features,,absence of 360 degree camera and front+rear parking sensors just break my heart.
,,safety features,,"quote:    
					originally posted by m2avg    search for 360 degrees camera on alibaba or aliexpress or ebay."
,,safety features,,"360 degree camera installation would be the most invasive.  
"
,,safety features,,the primary purpose of the big screen is to support the 360 degree camera.
,,safety features,,"screen resolution is good and 360 degree camera gives clear images. 
"
,,safety features,,"the 360 degree camera, again, wasn't sharp - at least in the dark. 
"
,,safety features,,"the first thing i noticed was the 360 degree camera button, but the lack of any cameras except the rear."
,,safety features,,but adding a 360 degree camera might involve in new ovrms and a new front grill to house the cameras.
,,safety features,,"ii) 360 degree camera
               iii) blind spot monitor 
b)"
,,safety features,,"two-stage reclining rear seats 
first impressions on the segments firsts in seltos (continued):
- bs vi compliance
- 360 degree camera
- 3 different automatic transmission systems (cvt, 7dct and 6at)+ manual
- eco coating for faster air con cooling"
,,safety features,,i guess everyone is confused with the 360 degree camera.
,,safety features,,tech line top variant doesn't seem to have  360 degree camera .
,,safety features,,what abt the 360 degree camera in tech line's top end variant...????
,,safety features,,"360 degree camera, won't be easy as the orvm has to be changed and a separate module has to be procured."
,,safety features,,"now everyone is up in arms against kia for not providing few things like ventilated seats, bose speakers and 360 degree camera!"
,,safety features,,"above picture: bose speakers missing   
above picture: upper two missing buttons are ventilated seats, lower two buttons are 360 degree camera and front parking senors. 
"
,,safety features,,as i understand only 360 degree camera will be missing from the gtx.
,,safety features,,"- i d stick with my morel tempos 
- powered front seats - not a big feature to miss, i d rather manually adjust
- ventillated seats - will be missed, but the seat would become too soft akin to verna which could make it uncomfortable and back pain prone 
- 360 degree camera - will be definitely missed 
- auto dimming rear view mirrors - this should be standard across variants"
,,safety features,,"though the surprise touches as reclining rear seats & rear door curtains. 
a 360 degree camera, more gadgets to play with and leather seats with sunroof in all display cars as per autocar india."
,,safety features,,is 360 degree camera available in htx(mt) variant?
,,safety features,,a 360 degree camera could have completely sealed the deal.
,,safety features,,does 1.5 l diesel top end manual get 360 degree camera ..?
,,safety features,,"a diesel top or gt top both in manual transmission as the cost be be very close to each other seeing that diesel misses on  features like 360 degree camera, 4 disc brakes and blind view monitor."
,,safety features,,"seeing that the diesel top model misses on features like 360 degree camera, four disc brakes, hud and blind spot monitor do you feel that manual 1.4 gt engine is the better option to buy."
,,safety features,,"no head on display and 360 degree camera,  in the top diesel varient."
,,safety features,,"kia seltos is an amazing car loaded with lots of features with 360 degree cameras, ventilated seats, heads up display, 6 air bags, etc... this is the most awaited car for me.

"
,,safety features,,"all led lights treatment,we get a 360-degree camera, powerful engines options."
,,safety features,,"other talked-about features include air-cooled seats, bose music system, sunroof, 360-degree camera."
,,safety features,,"yes, it's gtx+.  
- 360 degree camera: it's better than the one present in mg hector and gives you an all-around view, thus complementing the safety side."
,,safety features,,"depends on how much value you assign to the creature comforts of a ventilated seat, sunroof, 360 degrees camera and the bose badging."
,,safety features,,"360 degree camera
3. blind spot camera
4. heads up display
5."
,,safety features,,-the orvms have massive blind spots.
,,safety features,,"the freelander (the platform of which the harrier was originally meant to be built) has similar sized orvms and incidentally, does suffer from blind spots too (though not as much as the harrier)."
,,safety features,,the blind spot that xxl sized orvms give is potentially dangerous.
,,safety features,,yesterday i lowered the driving seat to a new position and i feel the blind spot is now reduced to some extent.
,,safety features,,"he says he doesn't find anything seriously concerning, except for the blind spots in the orvm and the light steering at high speeds."
,,safety features,,"the car definitely has stunning looks.  
of all the niggles mentioned, the only things that really concerned me was the lighter steering at higher speeds and huge blind spots in the car."
,,safety features,,orvm are causing blind spot
,,safety features,,"blind spots created by the large orvms and limited view from the rear windshield.
"
,,safety features,,"the car is frankly a danger on our roads with the foot trap between the dead pedal and clutch, those huge blind spots, and the tiny rear windshield."
,,safety features,,"i was hoping for panaromic sunroof,  new instrument cluster and smooth touch infotainment screen with connected features, blind spot, ventilated seats etc."
,,safety features,,"you can't move your car more than 20km/hr on 1st gear and 40 km/hr on 2dn , it crests only noise after, like bus(you must have to change 
    your gear whatever may be the your situation )
*blind spot of mirror is very very big it is dangerous. 
"
,,safety features,,"steering at high speed(above 80) is very light which is very dangerous
4. dangerous blind spots
5."
,,safety features,,"annoyances such as the massive orvm blind spot, loud diesel >3000 rpm & some ergonomic flawstata's after-sales service quality is a hit or miss."
,,safety features,,well my dealer told me yesterday that there is information that all htx+ will be getting the 360 camera and the blind spot monitor.
,,safety features,,"blind spot monitor- a nice addition, but nothing great in my opinion. 
"
,,safety features,,"360 camera & blind spot - this is one very useful feature in our road conditions and the one missing on gtx (i am mostly hooked on to this variant for budget reasons)
4. ventilated seats - i could hardly feel any thing during my drive (htx+) and can be passed as it can give back problems during long drive due to soft seats
5."
,,safety features,,"for short drivers, that huge screen is going to create some serious blind spots especially with 2 wheelers and when turning diagonally left."
,,safety features,,"diesel auto will miss out on side and curtain airbags, 360 camera, blind spot monitor, heads-up display."
,,safety features,,"i found the blind spot monitor  to be the most useful feature.  
"
,,safety features,,one engages the turn indicator for blind spots.
,,safety features,,"front parking sensors (automatic only) 
• blind spot monitor (automatic only)"
,,safety features,,"front parking sensors (automatic only) 
• blind spot monitor (automatic only)   
kia seltos gtk 
"
,,safety features,,"ii) 360 degree camera
               iii) blind spot monitor 
b)"
,,safety features,,"look at the additional equipment that seltos will offer over creta: bigger dimensions, bsvi, hud, 360-camera, blind spot monitor, bose system, and front parking sensors."
,,safety features,,"kia seltos officially unveiled, 
- to go on sale in august 
- gets 2 petrols, 1 diesel and 4 transmission options 
- 8 colours and additional two tone options on the  seltos 
- the kia seltos will be bs6-compliant right from launch 
- uvo connected car, 10.25 touchscreen, 8 “heads up display , surround view cameras , blind spot monitor and 8 speaker bose system & sport gt line with 1.4 litre t gdi with 7 speed dct  (the first sporty suv in this segment) 
- part of the kia #seltos' safety equipment list are six airbags, abs, electronic stability control, vehicle stability management, hill start assist, front and rear parking sensors and a blind spot view monitor"
,,safety features,,"autocar says there are some features like front sensors, tpms and blind spot monitor specific to auto."
,,safety features,,"blind spot monitor
3."
,,safety features,,this link also seem to mention blind spot display.
